InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
559923,90179C,BLACK FINE BEAD NECKLACE W TASSEL,1,7/13/2011 16:07,5.82,,United Kingdom
546017,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,3/8/2011 17:23,1.95,14507,United Kingdom
548622,20727,LUNCH BAG  BLACK SKULL.,10,4/1/2011 12:09,1.65,13636,United Kingdom
546569,22602,RETROSPOT WOODEN HEART DECORATION,12,3/15/2011 10:53,0.85,14016,EIRE
558068,15044A,PINK PAPER PARASOL ,3,6/24/2011 15:51,5.79,,United Kingdom
581256,22730,ALARM CLOCK BAKELIKE IVORY,1,12/8/2011 11:21,8.29,,United Kingdom
571035,48138,DOORMAT UNION FLAG,2,10/13/2011 12:50,8.25,12446,RSA
577049,23075,PARLOUR CERAMIC WALL HOOK,2,11/17/2011 13:58,4.15,17397,United Kingdom
562417,20719,WOODLAND CHARLOTTE BAG,2,8/4/2011 16:32,1.63,,United Kingdom
581439,23241,TREASURE TIN GYMKHANA DESIGN,4,12/8/2011 16:30,4.13,,United Kingdom
575739,23372,SET 36 COLOUR PENCILS DOLLY GIRL,1,11/11/2011 9:05,2.46,,United Kingdom
556102,47590A,BLUE HAPPY BIRTHDAY BUNTING,3,6/8/2011 16:15,5.45,13115,United Kingdom
573149,72122,COFFEE SCENT PILLAR CANDLE,4,10/27/2011 19:56,0.95,16438,United Kingdom
548011,22029,SPACEBOY BIRTHDAY CARD,216,3/29/2011 11:14,0.36,14646,Netherlands
576905,23424,GINGHAM RECIPE BOOK BOX,4,11/17/2011 9:31,4.95,13308,United Kingdom
573695,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,10/31/2011 17:13,2.55,15023,United Kingdom
541979,21465,PINK FLOWER CROCHET FOOD COVER,6,1/24/2011 14:54,3.75,14911,EIRE
566400,22694,WICKER STAR ,12,9/12/2011 13:16,2.1,17139,United Kingdom
540026,84660C,PINK STITCHED WALL CLOCK,1,1/4/2011 13:25,3.36,,United Kingdom
580134,23526,WALL ART DOG LICENCE ,8,12/1/2011 19:24,5.95,13102,United Kingdom
540402,82484,WOOD BLACK BOARD ANT WHITE FINISH,12,1/7/2011 9:31,5.55,16567,United Kingdom
559491,22467,GUMBALL COAT RACK,1,7/8/2011 13:53,4.96,,United Kingdom
541695,22031,BOTANICAL LAVENDER BIRTHDAY CARD,2,1/20/2011 18:01,0.42,,United Kingdom
576837,48188,DOORMAT WELCOME PUPPIES,1,11/16/2011 15:16,15.79,,United Kingdom
543740,84849D,HOT BATHS SOAP HOLDER,2,2/11/2011 13:36,1.69,15311,United Kingdom
537889,22840,ROUND CAKE TIN VINTAGE RED,2,12/9/2010 10:04,7.95,13319,United Kingdom
581003,21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,12,12/7/2011 8:38,1.95,14911,EIRE
559477,23321,SMALL WHITE HEART OF WICKER,12,7/8/2011 13:44,1.65,14315,United Kingdom
568995,21175,GIN + TONIC DIET METAL SIGN,12,9/29/2011 16:53,2.55,16779,United Kingdom
557870,20726,LUNCH BAG WOODLAND,10,6/23/2011 12:36,1.65,14404,United Kingdom
546984,22953,BIRTHDAY PARTY CORDON BARRIER TAPE,2,3/18/2011 12:35,1.25,15019,United Kingdom
547109,22367,CHILDRENS APRON SPACEBOY DESIGN,8,3/21/2011 11:46,1.95,12423,Belgium
562964,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,4,8/11/2011 10:29,3.75,13488,United Kingdom
566581,22188,BLACK HEART CARD HOLDER,4,9/13/2011 13:47,3.95,16081,United Kingdom
560434,20713,JUMBO BAG OWLS,2,7/18/2011 15:56,4.13,,United Kingdom
537690,16161U,WRAP SUKI AND FRIENDS,25,12/8/2010 10:38,0.42,13983,United Kingdom
575607,21984,PACK OF 12 PINK PAISLEY TISSUES ,2,11/10/2011 12:37,0.83,14096,United Kingdom
545333,21398,RED POLKADOT COFFEE  MUG,2,3/1/2011 16:22,4.13,,United Kingdom
563195,22652,TRAVEL SEWING KIT,1,8/12/2011 16:36,3.29,,United Kingdom
557643,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,1,6/21/2011 16:36,4.96,,United Kingdom
561907,22621,TRADITIONAL KNITTING NANCY,12,8/1/2011 10:08,1.65,14060,United Kingdom
559930,84991,60 TEATIME FAIRY CAKE CASES,24,7/14/2011 9:22,0.55,17738,United Kingdom
556443,16016,LARGE CHINESE STYLE SCISSOR,10,6/10/2011 15:28,0.85,12712,Germany
574713,23489,VINTAGE BELLS GARLAND,6,11/6/2011 14:26,2.89,12628,Germany
573913,22842,BISCUIT TIN VINTAGE RED,2,11/1/2011 15:49,6.75,17653,United Kingdom
C562958,M,Manual,-1,8/11/2011 10:19,3.25,17531,United Kingdom
566872,22998,TRAVEL CARD WALLET KEEP CALM,24,9/15/2011 13:28,0.42,16729,United Kingdom
569360,23439,HAND WARMER RED LOVE HEART,2,10/3/2011 14:59,2.1,14653,United Kingdom
539436,22043,CHRISTMAS CARD SCREEN PRINT ,2,12/17/2010 14:49,0.43,,United Kingdom
557671,85049C,ROMANTIC PINKS RIBBONS ,12,6/22/2011 10:11,1.25,13849,United Kingdom
539741,82613b,"METAL SIGN,CUPCAKE SINGLE HOOK",1,12/21/2010 15:20,2.51,,United Kingdom
539437,22571,ROCKING HORSE RED CHRISTMAS ,1,12/17/2010 14:54,1.66,,United Kingdom
544315,21123,SET/10 IVORY POLKADOT PARTY CANDLES,1,2/17/2011 14:42,1.25,12748,United Kingdom
559539,21749,LARGE RED RETROSPOT WINDMILL,3,7/10/2011 12:28,2.1,18024,United Kingdom
548646,21472,,-140,4/1/2011 13:15,0,,United Kingdom
545589,22730,ALARM CLOCK BAKELIKE IVORY,8,3/4/2011 10:21,3.75,17001,United Kingdom
555736,71101E,STANDING FAIRY POLE SUPPORT ,12,6/7/2011 9:13,0.85,17730,United Kingdom
539338,85178,VICTORIAN SEWING KIT,144,12/17/2010 10:54,1.25,17404,Sweden
539414,22301,COFFEE MUG CAT + BIRD DESIGN,2,12/17/2010 13:45,2.55,16931,United Kingdom
570466,22798,ANTIQUE GLASS DRESSING TABLE POT,2,10/10/2011 16:03,2.95,16791,United Kingdom
537381,22154,ANGEL DECORATION 3 BUTTONS ,48,12/6/2010 13:13,0.42,14667,United Kingdom
539958,21790,VINTAGE SNAP CARDS,1,12/23/2010 13:26,1.66,,United Kingdom
547963,84792,ENCHANTED BIRD COATHANGER 5 HOOK,8,3/28/2011 15:42,4.65,13037,United Kingdom
568870,23503,PLAYING CARDS KEEP CALM & CARRY ON,24,9/29/2011 12:11,1.25,17930,United Kingdom
572758,22621,TRADITIONAL KNITTING NANCY,2,10/25/2011 18:39,3.29,,United Kingdom
